channel_id,day,advertiser_id,impressions,verified_visits,verified_visit_conversions,verified_visit_total_order_value,total_spend,name
1,2017-09-18,12082,6931,28,1,265.17,49.104,"Desktop Retargeting"
6,2017-09-18,12082,928,7,0,0,4.7445,"Mobile Web Retargeting"
1,2017-09-18,12097,102997,352,7,881.85,669.4805,"Desktop Retargeting"
3,2017-09-18,12097,130839,152,3,57,850.4535,"Desktop Prospecting"
6,2017-09-18,12097,28288,55,1,159,183.872,"Mobile Web Retargeting"
1,2017-09-18,12098,3623,22,0,0,10.869,"Desktop Retargeting"
1,2017-09-18,12101,1688,24,0,0,18.5998,"Desktop Retargeting"
1,2017-09-18,13030,63780,45,2,412.11,382.68,"Desktop Retargeting"
3,2017-09-18,13030,102971,52,0,0,566.3405,"Desktop Prospecting"
1,2017-09-18,13031,8478,12,1,29.51,67.824,"Desktop Retargeting"
1,2017-09-18,13050,18708,18,0,0,149.664,"Desktop Retargeting"
1,2017-09-18,13060,2903,16,0,0,15.1695,"Desktop Retargeting"
1,2017-09-18,13063,35265,18,0,0,105.795,"Desktop Retargeting"
6,2017-09-18,13063,2813,5,0,0,11.252,"Mobile Web Retargeting"
1,2017-09-18,13073,29559,21,0,0,88.677,"Desktop Retargeting"
1,2017-09-18,13077,1207,5,0,0,10.863,"Desktop Retargeting"
1,2017-09-18,13092,6358,20,2,1430.28,34.969,"Desktop Retargeting"
1,2017-09-18,13097,7533,10,0,0,34.365,"Desktop Retargeting"
1,2017-09-18,13116,9920,15,0,0,70.395,"Desktop Retargeting"
3,2017-09-18,13116,36245,23,0,0,235.5925,"Desktop Prospecting"
1,2017-09-18,13154,21363,28,0,0,106.815,"Desktop Retargeting"
6,2017-09-18,13154,2361,15,0,0,11.805,"Mobile Web Retargeting"
1,2017-09-18,13158,2482,26,0,0,10.7815,"Desktop Retargeting"
1,2017-09-18,13165,7144,30,3,196.96,33.48,"Desktop Retargeting"
1,2017-09-18,13173,40264,63,1,25.9,241.584,"Desktop Retargeting"
1,2017-09-18,13179,15599,83,9,822.85,102.15,"Desktop Retargeting"
1,2017-09-18,13180,23289,15,1,41,104.8005,"Desktop Retargeting"
3,2017-09-18,11152,528799,127,2,118.16,3437.1935,"Desktop Prospecting"
6,2017-09-18,11152,589147,700,120,7009.42,3829.4555,"Mobile Web Retargeting"
1,2017-09-18,11175,21017,96,8,508.65,74.78,"Desktop Retargeting"
6,2017-09-18,11175,7604,17,2,92,26.419,"Mobile Web Retargeting"
1,2017-09-18,11195,325707,86,4,1170.48,1628.535,"Desktop Retargeting"
3,2017-09-18,11195,48404,17,0,0,242.02,"Desktop Prospecting"
1,2017-09-18,11206,203937,133,23,3180.03,815.748,"Desktop Retargeting"
6,2017-09-18,11206,81444,84,8,973.7,325.776,"Mobile Web Retargeting"
1,2017-09-18,11219,24175,58,3,248.4,143.101,"Desktop Retargeting"
1,2017-09-18,11270,59,0,0,0,0.0761,"Desktop Retargeting"
3,2017-09-18,11270,1838,10,0,0,5.8726,"Desktop Prospecting"
6,2017-09-18,11270,24,0,0,0,0.0311,"Mobile Web Retargeting"
1,2017-09-18,11316,12085,59,0,0,48.34,"Desktop Retargeting"
1,2017-09-18,11321,71452,64,13,285.5,157.686,"Desktop Retargeting"
1,2017-09-18,11330,7596,19,0,0,41.1405,"Desktop Retargeting"
3,2017-09-18,11330,2649,19,0,0,7.947,"Desktop Prospecting"
1,2017-09-18,11337,21869,47,0,0,88.1015,"Desktop Retargeting"
1,2017-09-18,11373,16758,38,0,0,73.704,"Desktop Retargeting"
1,2017-09-18,11391,135959,96,1,0,407.877,"Desktop Retargeting"
6,2017-09-18,11391,13935,13,0,0,34.8375,"Mobile Web Retargeting"
1,2017-09-18,20727,8460,38,0,0,35.6043,"Desktop Retargeting"
6,2017-09-18,20727,996,2,0,0,3.6836,"Mobile Web Retargeting"
1,2017-09-18,20728,56293,171,15,1626.68,314.4457,"Desktop Retargeting"
6,2017-09-18,20728,8914,13,0,0,62.5216,"Mobile Web Retargeting"
3,2017-09-18,20729,361136,336,1,422.15,2596.0456,"Desktop Prospecting"
1,2017-09-18,20785,39098,63,7,1037.4,312.784,"Desktop Retargeting"
6,2017-09-18,20785,12756,31,2,497,102.048,"Mobile Web Retargeting"
1,2017-09-18,20826,2634,23,0,0,18.438,"Desktop Retargeting"
1,2017-09-18,20835,24363,5,0,0,292.356,"Desktop Retargeting"
1,2017-09-18,20854,4295,36,1,0,36.794,"Desktop Retargeting"
5,2017-09-18,17946,21037,48,0,0,61.8067,"Facebook Retargeting"
5,2017-09-18,18080,161192,678,9,1632.4,98.3529,"Facebook Retargeting"
5,2017-09-18,18192,138137,667,21,1004.02,766.9062,"Facebook Retargeting"
7,2017-09-18,18192,133662,1130,3,123.78,818.9416,"Facebook Prospecting"
5,2017-09-18,19436,45827,33,1,45.9,176.9339,"Facebook Retargeting"
7,2017-09-18,19436,129741,3,0,0,207.8265,"Facebook Prospecting"
5,2017-09-18,19441,194343,971,61,6702.87,170.1885,"Facebook Retargeting"
3,2017-09-18,12586,122809,65,0,0,614.045,"Desktop Prospecting"
6,2017-09-18,12586,45972,77,8,462.11,267.8915,"Mobile Web Retargeting"
1,2017-09-18,12590,103958,37,6,1050.08,519.79,"Desktop Retargeting"
1,2017-09-18,12591,6609,35,1,89.95,25.6926,"Desktop Retargeting"
1,2017-09-18,12592,32222,71,3,223.97,170.5112,"Desktop Retargeting"
